
🇨🇳央视IPTV,#genre#
CCTV7,http://1.192.246.101:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0$郑州金水区电信
CCTV8,http://1.192.246.101:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0$郑州金水区电信
CCTV9,http://1.192.246.101:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0$郑州金水区电信
CCTV10,http://1.192.246.101:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0$郑州金水区电信
CCTV11,http://1.192.246.101:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0$郑州金水区电信
CCTV12,http://1.192.246.101:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0$郑州金水区电信
CCTV13,http://1.192.246.101:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0$郑州金水区电信
CCTV14,http://1.192.246.101:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0$郑州金水区电信
CCTV15,http://1.192.246.101:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0$郑州金水区电信

CCTV1,http://123.149.42.39:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$郑州新郑市电信
CCTV2,http://123.149.42.39:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0$郑州新郑市电信
CCTV3,http://123.149.42.39:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0$郑州新郑市电信
CCTV4,http://123.149.42.39:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0$郑州新郑市电信
CCTV5,http://123.149.42.39:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0$郑州新郑市电信
CCTV6,http://123.149.42.39:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0$郑州新郑市电信
CCTV8,http://123.149.42.39:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0$郑州新郑市电信
CCTV9,http://123.149.42.39:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0$郑州新郑市电信
CCTV10,http://123.149.42.39:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0$郑州新郑市电信
CCTV11,http://123.149.42.39:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0$郑州新郑市电信
CCTV12,http://123.149.42.39:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0$郑州新郑市电信
CCTV13,http://123.149.42.39:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0$郑州新郑市电信
CCTV14,http://123.149.42.39:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0$郑州新郑市电信
CCTV15,http://123.149.42.39:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0$郑州新郑市电信
CCTV17,http://123.149.42.39:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0$郑州新郑市电信

CCTV1,http://119.125.130.142:9901/tsfile/live/1015_1.m3u8?key=txiptv&playlive=1&down=1$梅州五华县电信
CCTV2,http://119.125.130.142:9901/tsfile/live/1016_1.m3u8?key=txiptv&playlive=1&down=1$梅州五华县电信
CCTV3,http://119.125.130.142:9901/tsfile/live/1017_1.m3u8?key=txiptv&playlive=1&down=1$梅州五华县电信
CCTV4,http://119.125.130.142:9901/tsfile/live/1018_1.m3u8?key=txiptv&playlive=1&down=1$梅州五华县电信
CCTV5,http://119.125.130.142:9901/tsfile/live/1019_1.m3u8?key=txiptv&playlive=1&down=1$梅州五华县电信
CCTV5+,http://119.125.130.142:9901/tsfile/live/1020_1.m3u8?key=txiptv&playlive=1&down=1$梅州五华县电信
CCTV6,http://119.125.130.142:9901/tsfile/live/1021_1.m3u8?key=txiptv&playlive=1&down=1$梅州五华县电信
CCTV7,http://119.125.130.142:9901/tsfile/live/1022_1.m3u8?key=txiptv&playlive=1&down=1$梅州五华县电信
CCTV8,http://119.125.130.142:9901/tsfile/live/1023_1.m3u8?key=txiptv&playlive=1&down=1$梅州五华县电信
CCTV9,http://119.125.130.142:9901/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&down=1$梅州五华县电信
CCTV10,http://119.125.130.142:9901/tsfile/live/1025_1.m3u8?key=txiptv&playlive=1&down=1$梅州五华县电信
CCTV11,http://119.125.130.142:9901/tsfile/live/1026_1.m3u8?key=txiptv&playlive=1&down=1$梅州五华县电信
CCTV12,http://119.125.130.142:9901/tsfile/live/1027_1.m3u8?key=txiptv&playlive=1&down=1$梅州五华县电信
CCTV13,http://119.125.130.142:9901/tsfile/live/1028_1.m3u8?key=txiptv&playlive=1&down=1$梅州五华县电信
CCTV14,http://119.125.130.142:9901/tsfile/live/1029_1.m3u8?key=txiptv&playlive=1&down=1$梅州五华县电信
CCTV15,http://119.125.130.142:9901/tsfile/live/1030_1.m3u8?key=txiptv&playlive=1&down=1$梅州五华县电信

CCTV电视指南,http://202.102.201.244:40022/rtp/238.1.79.53:4560$安徽电信
CCTV兵器科技,http://202.102.201.244:40022/rtp/238.1.79.56:4584$安徽电信
CCTV第一剧场,http://202.102.201.244:40022/rtp/238.1.79.63:4640$安徽电信
CCTV风云剧场,http://202.102.201.244:40022/rtp/238.1.79.62:4632$安徽电信
CCTV风云音乐,http://202.102.201.244:40022/rtp/238.1.79.64:4648$安徽电信
CCTV风云足球,http://202.102.201.244:40022/rtp/238.1.79.57:4592$安徽电信
CCTV高尔夫网球,http://202.102.201.244:40022/rtp/238.1.79.58:4600$安徽电信
CCTV怀旧剧场,http://202.102.201.244:40022/rtp/238.1.79.61:4624$安徽电信
CCTV女性时尚,http://202.102.201.244:40022/rtp/238.1.79.55:4576$安徽电信
CCTV世界地理,http://202.102.201.244:40022/rtp/238.1.79.60:4616$安徽电信
CCTV央视台球,http://202.102.201.244:40022/rtp/238.1.79.59:4608$安徽电信
CCTV文化精品	,http://202.102.201.244:40022/rtp/238.1.79.54:4568$安徽电信

CCTV风云足球,http://plex.home.yulei.online:9999/rtp/226.0.1.209:2122$ple
CCTV女性时尚,http://plex.home.yulei.online:9999/rtp/226.0.1.210:2128$ple
CCTV高尔夫网球,http://plex.home.yulei.online:9999/rtp/226.0.1.211:2132$ple
CCTV风云剧场,http://plex.home.yulei.online:9999/rtp/226.0.1.212:2133$ple
CCTV央视台球,http://plex.home.yulei.online:9999/rtp/226.0.1.181:2118$ple
CCTV怀旧剧场,http://plex.home.yulei.online:9999/rtp/226.0.1.182:2121$ple
CCTV文化精品,http://plex.home.yulei.online:9999/rtp/226.0.1.162:2108$ple
CCTV风云音乐,http://plex.home.yulei.online:9999/rtp/226.0.1.164:2109$ple
CCTV第一剧场,http://plex.home.yulei.online:9999/rtp/226.0.1.167:2110$ple
CCTV世界地理,http://plex.home.yulei.online:9999/rtp/226.0.1.169:2111$ple
CCTV兵器科技,http://plex.home.yulei.online:9999/rtp/226.0.1.171:2115$ple

██████████
🇨🇳卫视IPTV,#genre#

河南卫视,http://qwt.zhibotv.top:2016/全网通.php?id=河南卫视$洛阳市移动
湖南卫视,http://qwt.zhibotv.top:2016/全网通.php?id=湖南卫视$洛阳市移动
浙江卫视,http://qwt.zhibotv.top:2016/全网通.php?id=浙江卫视$洛阳市移动
江苏卫视,http://qwt.zhibotv.top:2016/全网通.php?id=江苏卫视$洛阳市移动
广东卫视,http://qwt.zhibotv.top:2016/全网通.php?id=广东卫视$洛阳市移动
东方卫视,http://qwt.zhibotv.top:2016/全网通.php?id=东方卫视$洛阳市移动
东南卫视,http://qwt.zhibotv.top:2016/全网通.php?id=东南卫视$洛阳市移动
辽宁卫视,http://qwt.zhibotv.top:2016/全网通.php?id=辽宁卫视$洛阳市移动
深圳卫视,http://qwt.zhibotv.top:2016/全网通.php?id=深圳卫视$洛阳市移动
天津卫视,http://qwt.zhibotv.top:2016/全网通.php?id=天津卫视$洛阳市移动
安徽卫视,http://qwt.zhibotv.top:2016/全网通.php?id=安徽卫视$洛阳市移动
河北卫视,http://qwt.zhibotv.top:2016/全网通.php?id=河北卫视$洛阳市移动
重庆卫视,http://qwt.zhibotv.top:2016/全网通.php?id=重庆卫视$洛阳市移动
吉林卫视,http://qwt.zhibotv.top:2016/全网通.php?id=吉林卫视$洛阳市移动
黑龙江卫视,http://qwt.zhibotv.top:2016/全网通.php?id=黑龙江卫视$洛阳市移动
山东卫视,http://qwt.zhibotv.top:2016/全网通.php?id=山东卫视$洛阳市移动
海南卫视,http://qwt.zhibotv.top:2016/全网通.php?id=海南卫视$洛阳市移动
贵州卫视,http://qwt.zhibotv.top:2016/全网通.php?id=贵州卫视$洛阳市移动
湖北卫视,http://qwt.zhibotv.top:2016/全网通.php?id=湖北卫视$洛阳市移动
广西卫视,http://qwt.zhibotv.top:2016/全网通.php?id=广西卫视$洛阳市移动
江西卫视,http://qwt.zhibotv.top:2016/全网通.php?id=江西卫视$洛阳市移动
陕西卫视,http://qwt.zhibotv.top:2016/全网通.php?id=陕西卫视$洛阳市移动
宁夏卫视,http://qwt.zhibotv.top:2016/全网通.php?id=宁夏卫视$洛阳市移动
内蒙古卫视,http://qwt.zhibotv.top:2016/全网通.php?id=内蒙古卫视$洛阳市移动
西藏卫视,http://qwt.zhibotv.top:2016/全网通.php?id=西藏卫视$洛阳市移动
四川卫视,http://qwt.zhibotv.top:2016/全网通.php?id=四川卫视$洛阳市移动
山西卫视,http://qwt.zhibotv.top:2016/全网通.php?id=山西卫视$洛阳市移动
甘肃卫视,http://qwt.zhibotv.top:2016/全网通.php?id=甘肃卫视$洛阳市移动
新疆卫视,http://qwt.zhibotv.top:2016/全网通.php?id=新疆卫视$洛阳市移动
青海卫视,http://qwt.zhibotv.top:2016/全网通.php?id=青海卫视$洛阳市移动

河南卫视,http://117.114.153.28:8188/TV00000000000000000016@HHZT$北京市全网通
北京卫视,http://117.114.153.28:8188/TV00000000000000000090@HHZT$北京市全网通
东方卫视,http://117.114.153.28:8188/TV00000000000000000138@HHZT$北京市全网通
江苏卫视,http://117.114.153.28:8188/TV00000000000000000089@HHZT$北京市全网通
湖南卫视,http://117.114.153.28:8188/TV00000000000000000148@HHZT$北京市全网通
广东卫视,http://117.114.153.28:8188/TV00000000000000000027@HHZT$北京市全网通
深圳卫视,http://117.114.153.28:8188/TV00000000000000000101@HHZT$北京市全网通
天津卫视,http://117.114.153.28:8188/TV00000000000000000085@HHZT$北京市全网通
湖北卫视,http://117.114.153.28:8188/TV00000000000000000086@HHZT$北京市全网通
重庆卫视,http://117.114.153.28:8188/TV00000000000000000120@HHZT$北京市全网通
山东卫视,http://117.114.153.28:8188/TV00000000000000000083@HHZT$北京市全网通
辽宁卫视,http://117.114.153.28:8188/TV00000000000000000119@HHZT$北京市全网通
黑龙江卫视,http://117.114.153.28:8188/TV00000000000000000084@HHZT$北京市全网通
安徽卫视,http://117.114.153.28:8188/TV00000000000000000087@HHZT$北京市全网通
东南卫视,http://117.114.153.28:8188/TV00000000000000000156@HHZT$北京市全网通
甘肃卫视,http://117.114.153.28:8188/TV00000000000000000014@HHZT$北京市全网通
广西卫视,http://117.114.153.28:8188/TV00000000000000000037@HHZT$北京市全网通
贵州卫视,http://117.114.153.28:8188/TV00000000000000000040@HHZT$北京市全网通
河北卫视,http://117.114.153.28:8188/TV00000000000000000013@HHZT$北京市全网通
吉林卫视,http://117.114.153.28:8188/TV00000000000000000039@HHZT$北京市全网通
宁夏卫视,http://117.114.153.28:8188/TV00000000000000000018@HHZT$北京市全网通
青海卫视,http://117.114.153.28:8188/TV00000000000000000034@HHZT$北京市全网通
三沙卫视,http://117.114.153.28:8188/TV00000000000000000041@HHZT$北京市全网通
厦门卫视,http://117.114.153.28:8188/TV00000000000000000044@HHZT$北京市全网通
山西卫视,http://117.114.153.28:8188/TV00000000000000000030@HHZT$北京市全网通
陕西卫视,http://117.114.153.28:8188/TV00000000000000000038@HHZT$北京市全网通
深圳卫视,http://117.114.153.28:8188/TV00000000000000000198@HHZT$北京市全网通
四川卫视,http://117.114.153.28:8188/TV00000000000000000033@HHZT$北京市全网通
西藏卫视,http://117.114.153.28:8188/TV00000000000000000035@HHZT$北京市全网通
新疆卫视,http://117.114.153.28:8188/TV00000000000000000031@HHZT$北京市全网通
云南卫视,http://117.114.153.28:8188/TV00000000000000000028@HHZT$北京市全网通
内蒙古卫视,http://117.114.153.28:8188/TV00000000000000000010@HHZT$北京市全网通

河南卫视,http://123.160.174.149:85/tsfile/live/0139_1.m3u8?key=txiptv&playlive=1&authid=0$郑州管城区电信
北京卫视,http://123.160.174.149:85/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0$郑州管城区电信
山东卫视,http://123.160.174.149:85/tsfile/live/0131_1.m3u8?key=txiptv&playlive=1&authid=0$郑州管城区电信
广东卫视,http://123.160.174.149:85/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0$郑州管城区电信
辽宁卫视,http://123.160.174.149:85/tsfile/live/0121_1.m3u8?key=txiptv&playlive=1&authid=0$郑州管城区电信
江西卫视,http://123.160.174.149:85/tsfile/live/0138_1.m3u8?key=txiptv&playlive=1&authid=0$郑州管城区电信
深圳卫视,http://123.160.174.149:85/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0$郑州管城区电信
广西卫视,http://123.160.174.149:85/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&authid=0$郑州管城区电信
天津卫视,http://123.160.174.149:85/tsfile/live/0135_1.m3u8?key=txiptv&playlive=1&authid=0$郑州管城区电信
云南卫视,http://123.160.174.149:85/tsfile/live/0119_1.m3u8?key=txiptv&playlive=1&authid=0$郑州管城区电信
东南卫视,http://123.160.174.149:85/tsfile/live/0137_1.m3u8?key=txiptv&playlive=1&authid=0$郑州管城区电信
山西卫视,http://123.160.174.149:85/tsfile/live/0118_1.m3u8?key=txiptv&playlive=1&authid=0$郑州管城区电信
青海卫视,http://123.160.174.149:85/tsfile/live/0140_1.m3u8?key=txiptv&playlive=1&authid=0$郑州管城区电信
新疆卫视,http://123.160.174.149:85/tsfile/live/0110_1.m3u8?key=txiptv&playlive=1&authid=0$郑州管城区电信
湖南卫视,http://123.160.174.149:85/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0$郑州管城区电信
浙江卫视,http://123.160.174.149:85/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0$郑州管城区电信
东方卫视,http://123.160.174.149:85/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0$郑州管城区电信
重庆卫视,http://123.160.174.149:85/tsfile/live/0142_1.m3u8?key=txiptv&playlive=1&authid=0$郑州管城区电信

河南卫视,http://1.198.10.246:9901/tsfile/live/0139_1.m3u8?key=txiptv&playlive=1&authid=0$郑州二七区电信
浙江卫视,http://1.198.10.246:9901/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0$郑州二七区电信
东方卫视,http://1.198.10.246:9901/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0$郑州二七区电信
安徽卫视,http://1.198.10.246:9901/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0$郑州二七区电信
北京卫视,http://1.198.10.246:9901/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0$郑州二七区电信
深圳卫视,http://1.198.10.246:9901/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0$郑州二七区电信
重庆卫视,http://1.198.10.246:9901/tsfile/live/0142_1.m3u8?key=txiptv&playlive=1&authid=0$郑州二七区电信
山东卫视,http://1.198.10.246:9901/tsfile/live/0131_1.m3u8?key=txiptv&playlive=1&authid=0$郑州二七区电信
贵州卫视,http://1.198.10.246:9901/tsfile/live/0120_1.m3u8?key=txiptv&playlive=1&authid=0$郑州二七区电信
东南卫视,http://1.198.10.246:9901/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0$郑州二七区电信

河南卫视,http://1.192.246.101:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0$郑州金水区电信
东方卫视,http://1.192.246.101:9901/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0$郑州金水区电信
云南卫视,http://1.192.246.101:9901/tsfile/live/0119_1.m3u8?key=txiptv&playlive=1&authid=0$郑州金水区电信
北京卫视,http://1.192.246.101:9901/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0$郑州金水区电信
吉林卫视,http://1.192.246.101:9901/tsfile/live/0116_1.m3u8?key=txiptv&playlive=1&authid=0$郑州金水区电信
四川卫视,http://1.192.246.101:9901/tsfile/live/0123_1.m3u8?key=txiptv&playlive=1&authid=0$郑州金水区电信
安徽卫视,http://1.192.246.101:9901/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0$郑州金水区电信
山东卫视,http://1.192.246.101:9901/tsfile/live/0131_1.m3u8?key=txiptv&playlive=1&authid=0$郑州金水区电信
山西卫视,http://1.192.246.101:9901/tsfile/live/0118_1.m3u8?key=txiptv&playlive=1&authid=0$郑州金水区电信
广西卫视,http://1.192.246.101:9901/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&authid=0$郑州金水区电信
江苏卫视,http://1.192.246.101:9901/tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&authid=0$郑州金水区电信
江西卫视,http://1.192.246.101:9901/tsfile/live/0138_1.m3u8?key=txiptv&playlive=1&authid=0$郑州金水区电信
河北卫视,http://1.192.246.101:9901/tsfile/live/0117_1.m3u8?key=txiptv&playlive=1&authid=0$郑州金水区电信
浙江卫视,http://1.192.246.101:9901/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0$郑州金水区电信
海南卫视,http://1.192.246.101:9901/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0$郑州金水区电信
深圳卫视,http://1.192.246.101:9901/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0$郑州金水区电信
湖北卫视,http://1.192.246.101:9901/tsfile/live/0132_1.m3u8?key=txiptv&playlive=1&authid=0$郑州金水区电信
湖南卫视,http://1.192.246.101:9901/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0$郑州金水区电信
甘肃卫视,http://1.192.246.101:9901/tsfile/live/0141_1.m3u8?key=txiptv&playlive=1&authid=0$郑州金水区电信
辽宁卫视,http://1.192.246.101:9901/tsfile/live/0121_1.m3u8?key=txiptv&playlive=1&authid=0$郑州金水区电信
重庆卫视,http://1.192.246.101:9901/tsfile/live/0142_1.m3u8?key=txiptv&playlive=1&authid=0$郑州金水区电信
陕西卫视,http://1.192.246.101:9901/tsfile/live/0136_1.m3u8?key=txiptv&playlive=1&authid=0$郑州金水区电信

河南卫视,http://123.149.42.39:9901/tsfile/live/0139_1.m3u8?key=txiptv&playlive=1&authid=0$郑州新郑市电信
新疆卫视,http://123.149.42.39:9901/tsfile/live/0110_1.m3u8?key=txiptv&playlive=1&authid=0$郑州新郑市电信
广西卫视,http://123.149.42.39:9901/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&authid=0$郑州新郑市电信
山西卫视,http://123.149.42.39:9901/tsfile/live/0118_1.m3u8?key=txiptv&playlive=1&authid=0$郑州新郑市电信
云南卫视,http://123.149.42.39:9901/tsfile/live/0119_1.m3u8?key=txiptv&playlive=1&authid=0$郑州新郑市电信
辽宁卫视,http://123.149.42.39:9901/tsfile/live/0121_1.m3u8?key=txiptv&playlive=1&authid=0$郑州新郑市电信
北京卫视,http://123.149.42.39:9901/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0$郑州新郑市电信
广东卫视,http://123.149.42.39:9901/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0$郑州新郑市电信
